trip,date,plot,plantID,code,genus,epithet,page,cii,lblade,phylotax,phylotax2,growth,btype,d10,d10h,dbh,dbhh,d1b,s1bh,sh,cmax,cmean,cmin,cd1,cd2,nl,np,lhm,ldm,rhs,rhf,phm,pdm,tl,td,tv,ttype,thm,tdm,il1,il2,il3,il4,il5,tl1,tl2,tl3,tl4,tl5,canopy,sf,obs,count.,check.ID.,dbh0
4,5/9/16,380X240,151865,OURDIS,Ouratea,discophora,3,1,simple,alternate,distic,cont,horizontal,3513,10,3119,-10,2886,60,330,381,335,254,281,274,5,5,650,318,1035,2118,18,8,122,627,348,branch,412,233,32.219,33.917,34.608,34.882,33.284,10.873,11.06,13.752,18.271,13.781,,N ,altura 1 bif eh na verdade 2.11,,,28
4,5/9/16,380X240,151995,PRODEC,Protium,decandrum,3,1,odd-pinnate,alternate,spiral,cont,without,1607,10,1146,-10,1053,20,28,46,33,9,86,78,0.5,1,336,167,1035,1742,169,64,94,321,95,petiole,97,32,14.184,14.169,12.341,14.212,14.543,9.0882,7.3178,11.679,10.7,6.6413,,N ,,,,12
4,5/9/16,400X240,161770,HEVGUI,Hevea,guianensis,3,1.5,trifoliate,alternate,spiral,rhitmic,vertical,2698,10,2034,-10,1646,60,357,388,361,355,164,101,3,3,1393,543,1035,1654,376,123,116,715,519,branch,524,258,16.578,17.859,16.924,14.664,15.441,7.5823,5.9558,3.7536,7.3952,7.9853,,N ,altura 1 bif eh na verdade 2.98,,,15
4,5/9/16,400X240,161749,HEVGUI,Hevea,guianensis,3,1.5,trifoliate,alternate,spiral,rhitmic,vertical,3826,10,2770,-10,2287,60,403,427,369,287,192,121,2,2,1680,707,1035,1957,484,154,125,882,823,branch,826,402,27.311,27.152,27.311,26.994,26.375,17.782,18.79,18.804,16.012,18.055,,N ,altura 1 bif eh na verdade 2.26; as folhas perdem agua muito rapido,,,19
4,5/9/16,380X200,151349,TABMUR,Tabernaemontana,muricata,4,1.5,simple,opposite,distic,cont,vertical,3716,10,3127,-10,3044,60,432,456,429,381,128,141,5,5,1738,618,1035,1759,76,16,118,906,922,branch,944,417,9.3739,9.7626,9.6762,8.5823,8.4096,6.7111,7.4884,7.1141,6.524,6.8262,,N ,altura 1 bif eh na verdade 2.82,,,32
4,5/9/16,380X180,151063,POURES,Pouteria,resinosa,4,2,simple,alternate,spiral,cont,horizontal,3100,10,2721,-10,2644,60,416,437,357,287,236,179,5,5,788,433,1035,1840,37,16,97,630,296,branch,353,192,0.60831,1.3568,1.9469,1.9037,0.72346,0,0,0,0,0,,N ,altura 1 bif eh na verdade 2.52,,,23
4,5/9/16,420X200,171604,MANHUB,Manilkara,huberi,4,1,simple,alternate,spiral,cont,horizontal,2195,10,1671,-10,1301,60,127,152,99,16,161,115,3,3,1599,722,1035,2004,124,42,100,664,430,branch,470,250,0,0,0,0,0,0,0,0,0,0,,N ,altura 1 bif eh na verdade 0.00,,,15
4,5/9/16,400X180,161210,ERIBIC,Erisma,bicolor,4,1.5,simple,opposite,distic,cont,horizontal,4956,20,4255,-10,3969,60,555,544,421,275,264,241,3,3,1425,743,1035,2005,165,48,97,729,524,branch,580,258,0,0,0,0,0,0,0,0,0,0,,N ,altura 1 bif eh na verdade 1.41; luz: logger nao mediu (zero only file),,,27
4,5/9/16,420X160,170946,GUAcfDIS,Guatteria,cf. discolor,4,2,simple,alternate,distic,cont,horizontal,2797,10,2475,-10,2378,60,231,242,175,56,231,255,5,5,1205,624,1035,2104,49,15,100,642,337,branch,375,159,27.035,24.228,22.501,19.32,25.74,9.0142,14.138,14.527,12.382,15.635,,N ,altura 1 bif eh na verdade 1.00,,,19
4,5/9/16,420X160,171135,MANHUB,Manilkara,huberi,4,2,simple,alternate,spiral,cont,horizontal,3473,10,2858,-10,2513,185,292,325,248,197,257,270,3,3,1088,494,1035,2001,103,42,114,759,565,branch,636,308,29.165,25.308,25.581,30.504,16.384,14.095,16.384,15.103,13.476,13.519,,N ,planta inclinada; luz: 3 extra meas. Dropped,,,27
4,5/9/16,420X160,171118,ERIBIC,Erisma,bicolor,4,2.5,simple,opposite,distic,cont,horizontal,NA,10,NA,-10,NA,128,200,208,178,130,119,116,2,2,1476,695,1035,2108,121,37,112,766,447,branch,505,192,63.84,62.775,49.619,46.553,45.503,33.109,25.092,25.783,26.517,43.689,,N ,,,,17
4,5/9/16,400X240,161736,RINGUI,Rinorea,guianensis,5,1,simple,alternate,distic,cont,horizontal,2400,10,2141,-10,1895,60,354,369,324,206,122,145,5,5,395,127,1035,1753,13,4,100,629,377,branch,415,214,10.648,10.778,10.504,10.576,10.663,7.1652,6.9492,6.1432,5.222,5.3516,,N ,altura da 1 bif eh na verdade 1.79,,,17
4,5/9/16,400X240,161800,SCLMIC,Scleronema,micranthum,5,1,simple,alternate,spiral,cont,down-arched,3560,10,2543,-10,2442,60,194,275,208,26,250,246,5,5,374,155,1035,1937,60,17,117,806,680,branch,762,387,0,0,0,0,0,0,0,0,0,0,,N ,tiers com 3 ramos?; altura da 1 bif eh na verdade 0.34; luz: logger n‹o gravou valores (s— zeros),,,25
4,5/9/16,400X240,161721,ESCROM,Eschweilera,romeu-cardosoi,5,1.5,simple,alternate,distic,cont,down-arched,2136,10,1571,-10,1513,60,260,263,206,186,157,98,5,5,669,315,1035,1934,16,7,105,563,253,branch,305,169,14.031,14.434,13.887,13.167,13.844,9.5401,9.6265,11.714,9.4825,13.081,,N ,altura da 1 bif eh na verdade 151; apice curvo; luz:first meas. Dropped,,,15
4,5/9/16,400X240,161878,UNODUC,Unonopsis,duckei,5,1.5,simple,alternate,distic,cont,horizontal,1843,10,1306,-10,1106,90,215,231,155,99,126,103,5,5,785,388,1035,1803,39,18,106,448,170,branch,193,101,6.9205,6.6326,7.4818,7.4242,6.2296,8.331,8.2303,7.6401,7.1939,7.3523,,N ,,,,12
4,5/9/16,400X240,161942,POURES,Pouteria,resinosa,5,1,simple,alternate,spiral,cont,vertical,1930,10,1450,-10,1524,0,28,103,75,30,66,97,5,5,442,231,1035,1921,31,13,100,457,202,branch,240,139,8.8924,8.072,7.4674,8.9788,11.239,5.9849,5.1069,6.7189,6.0281,5.4811,,N ,as plantas desta especie estao geralmente quebradas e rebrotando; altura maxima eh muito maior do que a do caule pq o apice estava quebrado e galhos rebrotaram,,,16
4,5/9/16,400X240,161848,CASJAV,Casearia,javitensis,5,1,simple,alternate,distic,cont,horizontal,2402,20,2017,-10,1845,60,282,291,234,145,130,120,5,5,512,241,1035,1828,12,5,105,557,311,branch,370,208,9.6409,9.684,10.073,9.3386,8.8636,3.8546,6.4455,4.272,6.9349,7.928,,N ,altura da 1 bif eh na verdade 1.25,,,22
4,5/9/16,400X240,161856,PROOPA,Protium,opacum,5,1,odd-pinnate,alternate,spiral,cont,vertical,2452,10,1793,-10,1578,60,260,280,244,213,63,105,0.5,1,661,314,1035,1957,222,89,116,755,559,branch,539,279,10.087,9.828,9.8568,9.5545,9.5689,8.0144,7.6257,7.2083,7.4674,8.95,,N ,altura da 1 bif eh na verdade 1.53,,,15
